iter	Passed	Remaining
0	161	160886
1	166	83103
2	168	56115
3	170	42351
4	171	34130
5	172	28631
6	173	24673
7	175	21751
8	178	19639
9	179	17784
10	181	16276
11	182	15028
12	183	13948
13	185	13066
14	187	12281
15	188	11576
16	189	10954
17	191	10434
18	193	10005
19	195	9556
20	196	9164
21	197	8787
22	198	8444
23	201	8194
24	203	7918
25	204	7668
26	205	7423
27	207	7188
28	208	6973
29	209	6786
30	211	6612
31	212	6434
32	214	6283
33	217	6169
34	222	6144
35	225	6041
36	228	5956
37	230	5836
38	236	5821
39	240	5764
40	242	5680
41	249	5696
42	252	5609
43	253	5501
44	254	5402
45	256	5314
46	257	5230
47	259	5140
48	260	5055
49	261	4968
50	264	4928
51	265	4848
52	267	4770
53	268	4695
54	269	4628
55	270	4566
56	272	4508
57	274	4452
58	275	4392
59	276	4335
60	278	4285
61	280	4238
62	281	4182
63	282	4127
64	284	4086
65	285	4039
66	289	4035
67	290	3983
68	292	3940
69	293	3898
70	294	3857
71	296	3822
72	298	3793
73	300	3755
74	302	3725
75	303	3692
76	305	3657
77	306	3624
78	308	3594
79	309	3562
80	311	3528
81	312	3496
82	313	3468
83	316	3451
84	317	3419
85	318	3388
86	319	3353
87	321	3327
88	333	3414
89	334	3385
90	335	3354
91	336	3324
92	337	3296
93	339	3268
94	340	3244
95	342	3220
96	343	3196
97	345	3175
98	346	3157
99	348	3132
100	349	3107
101	349	3078
102	350	3054
103	351	3029
104	352	3007
105	353	2983
106	355	2963
107	356	2942
108	357	2922
109	358	2904
110	360	2886
111	361	2868
112	362	2847
113	364	2831
114	376	2893
115	377	2874
116	378	2859
117	381	2853
118	383	2840
119	385	2826
120	386	2806
121	387	2786
122	387	2764
123	388	2746
124	389	2728
125	391	2712
126	392	2694
127	392	2675
128	393	2657
129	394	2642
130	396	2627
131	397	2615
132	398	2598
133	399	2582
134	400	2567
135	411	2616
136	413	2602
137	429	2682
138	432	2678
139	433	2665
140	435	2651
141	436	2638
142	437	2624
143	438	2609
144	439	2593
145	440	2577
146	441	2563
147	442	2549
148	443	2534
149	444	2520
150	445	2506
151	447	2494
152	448	2482
153	449	2469
154	451	2459
155	453	2452
156	454	2439
157	456	2432
158	474	2512
159	476	2501
160	477	2488
161	478	2476
162	479	2463
163	480	2451
164	482	2441
165	483	2429
166	484	2418
167	485	2405
168	486	2392
169	487	2380
170	488	2368
171	489	2355
172	490	2343
173	491	2331
174	491	2318
175	492	2307
176	493	2295
177	494	2284
178	495	2272
179	496	2261
180	496	2248
181	497	2237
182	504	2252
183	505	2243
184	507	2234
185	508	2224
186	509	2214
187	510	2205
188	511	2195
189	512	2185
190	515	2182
191	517	2178
192	519	2172
193	521	2168
194	523	2159
195	524	2150
196	525	2143
197	527	2135
198	529	2129
199	530	2122
200	531	2114
201	533	2106
202	534	2098
203	535	2090
204	537	2082
205	538	2075
206	539	2066
207	540	2059
208	542	2053
209	547	2059
210	549	2053
211	555	2064
212	557	2060
213	559	2053
214	560	2045
215	562	2040
216	563	2034
217	564	2025
218	565	2017
219	567	2011
220	568	2003
221	570	1998
222	571	1992
223	573	1986
224	579	1995
225	581	1991
226	586	1996
227	588	1992
228	590	1989
229	594	1989
230	595	1982
231	602	1995
232	604	1990
233	608	1992
234	610	1986
235	611	1981
236	613	1973
237	614	1966
238	615	1958
239	616	1952
240	618	1946
241	619	1940
242	621	1935
243	623	1930
244	625	1926
245	626	1920
246	627	1914
247	629	1908
248	630	1901
249	631	1894
250	632	1888
251	634	1882
252	635	1875
253	635	1867
254	636	1860
255	637	1854
256	639	1849
257	640	1842
258	641	1836
259	643	1831
260	666	1888
261	671	1890
262	672	1884
263	673	1878
264	679	1883
265	681	1880
266	685	1881
267	686	1874
268	687	1868
269	688	1861
270	689	1855
271	691	1849
272	692	1843
273	693	1837
274	695	1832
275	696	1826
276	698	1822
277	699	1816
278	701	1813
279	703	1808
280	704	1803
281	707	1800
282	708	1796
283	710	1790
284	711	1785
285	712	1779
286	714	1774
287	715	1769
288	716	1763
289	718	1759
290	720	1754
291	726	1761
292	728	1758
293	730	1753
294	732	1749
295	733	1744
296	735	1741
297	736	1736
298	738	1732
299	740	1727
300	741	1721
301	742	1717
302	744	1712
303	746	1709
304	748	1705
305	749	1700
306	751	1695
307	760	1708
308	761	1703
309	763	1698
310	765	1696
311	767	1692
312	768	1687
313	770	1682
314	771	1677
315	775	1678
316	776	1674
317	778	1669
318	779	1664
319	782	1663
320	785	1660
321	786	1655
322	788	1652
323	789	1647
324	791	1643
325	793	1640
326	794	1635
327	796	1632
328	798	1627
329	799	1622
330	801	1620
331	803	1616
332	804	1611
333	805	1606
334	806	1601
335	807	1596
336	809	1592
337	811	1588
338	813	1586
339	814	1581
340	816	1577
341	818	1574
342	819	1569
343	820	1564
344	821	1560
345	822	1555
346	823	1550
347	825	1546
348	826	1541
349	827	1536
350	828	1531
351	829	1526
352	830	1521
353	832	1519
354	833	1514
355	834	1510
356	835	1505
357	840	1506
358	842	1503
359	843	1500
360	846	1497
361	847	1494
362	848	1489
363	850	1486
364	851	1481
365	852	1477
366	853	1472
367	855	1468
368	856	1464
369	857	1460
370	858	1455
371	859	1451
372	860	1447
373	862	1444
374	865	1443
375	870	1445
376	872	1442
377	874	1438
378	875	1434
379	877	1431
380	878	1428
381	880	1424
382	881	1420
383	882	1416
384	883	1412
385	884	1407
386	885	1403
387	887	1400
388	889	1396
389	890	1392
390	892	1389
391	895	1388
392	896	1385
393	898	1381
394	899	1377
395	901	1374
396	902	1370
397	903	1366
398	904	1362
399	906	1359
400	908	1356
401	909	1353
402	912	1351
403	914	1348
404	915	1345
405	916	1341
406	917	1337
407	919	1333
408	920	1329
409	921	1326
410	923	1323
411	924	1320
412	926	1316
413	929	1315
414	932	1314
415	933	1310
416	935	1307
417	937	1305
418	938	1301
419	941	1300
420	943	1297
421	948	1299
422	950	1296
423	951	1292
424	953	1289
425	954	1285
426	956	1282
427	957	1279
428	958	1276
429	959	1272
430	960	1268
431	962	1265
432	963	1261
433	965	1259
