iter	Passed	Remaining
0	157	157334
1	159	79361
2	160	53176
3	160	40074
4	161	32220
5	162	26980
6	163	23219
7	164	20435
8	166	18278
9	166	16525
10	167	15090
11	168	13891
12	169	12878
13	170	12026
14	171	11278
15	172	10622
16	174	10098
17	175	9591
18	176	9130
19	178	8743
20	179	8370
21	180	8025
22	181	7711
23	182	7423
24	183	7164
25	185	6960
26	186	6737
27	188	6526
28	189	6341
29	190	6167
30	192	6008
31	193	5855
32	194	5707
33	195	5565
34	196	5429
35	199	5342
36	200	5226
37	201	5110
38	202	4998
39	203	4892
40	204	4794
41	206	4705
42	208	4631
43	209	4556
44	211	4478
45	213	4428
46	214	4359
47	216	4285
48	217	4220
49	218	4156
50	220	4100
51	221	4037
52	222	3977
53	223	3917
54	224	3863
55	225	3808
56	226	3755
57	228	3704
58	229	3668
59	232	3642
60	233	3597
61	234	3552
62	236	3511
63	237	3471
64	238	3432
65	240	3396
66	241	3362
67	242	3329
68	244	3293
69	245	3262
70	246	3228
71	248	3199
72	249	3167
73	250	3135
74	251	3106
75	253	3082
76	254	3054
77	256	3026
78	257	2997
79	258	2969
80	259	2944
81	260	2918
82	261	2886
83	262	2861
84	263	2836
85	264	2813
86	266	2796
87	267	2773
88	269	2756
89	270	2734
90	271	2714
91	273	2702
92	275	2682
93	276	2663
94	278	2649
95	279	2635
96	281	2622
97	282	2603
98	283	2584
99	285	2566
100	286	2551
101	287	2534
102	290	2526
103	291	2508
104	292	2491
105	293	2473
106	294	2456
107	295	2439
108	296	2422
109	297	2405
110	298	2390
111	299	2374
112	300	2360
113	301	2346
114	303	2333
115	304	2319
116	305	2303
117	306	2289
118	307	2275
119	308	2261
120	309	2248
121	310	2233
122	311	2220
123	312	2208
124	313	2195
125	316	2195
126	317	2185
127	319	2173
128	320	2163
129	321	2153
130	322	2141
131	324	2130
132	325	2119
133	326	2107
134	327	2097
135	330	2099
136	332	2091
137	333	2082
138	335	2077
139	336	2068
140	337	2058
141	338	2047
142	340	2041
143	342	2036
144	343	2027
145	345	2018
146	346	2010
147	347	2002
148	348	1993
149	350	1984
150	351	1976
151	354	1976
152	355	1970
153	357	1962
154	358	1954
155	359	1945
156	360	1936
157	361	1928
158	362	1919
159	364	1911
160	364	1901
161	365	1892
162	366	1883
163	367	1875
164	369	1867
165	370	1858
166	371	1851
167	372	1843
168	373	1835
169	374	1827
170	375	1819
171	376	1811
172	377	1803
173	378	1795
174	379	1789
175	380	1781
176	381	1774
177	382	1766
178	383	1759
179	384	1753
180	386	1747
181	387	1741
182	388	1734
183	389	1728
184	390	1722
185	392	1716
186	393	1709
187	394	1702
188	395	1696
189	396	1689
190	397	1682
191	398	1676
192	399	1670
193	400	1663
194	401	1657
195	402	1651
196	403	1645
197	404	1639
198	405	1632
199	406	1626
200	407	1620
201	409	1616
202	410	1611
203	411	1605
204	413	1602
205	414	1597
206	415	1592
207	416	1586
208	417	1580
209	418	1575
210	419	1569
211	420	1564
212	422	1559
213	423	1553
214	424	1551
215	425	1545
216	427	1542
217	428	1538
218	430	1534
219	432	1534
220	434	1529
221	435	1525
222	436	1521
223	438	1519
224	439	1514
225	440	1510
226	442	1505
227	443	1501
228	444	1496
229	445	1492
230	446	1487
231	447	1482
232	448	1477
233	449	1472
234	450	1468
235	452	1463
236	453	1458
237	454	1454
238	457	1456
239	458	1452
240	459	1447
241	460	1443
242	462	1440
243	463	1435
244	464	1431
245	465	1427
246	466	1423
247	468	1420
248	469	1417
249	471	1413
250	472	1408
251	473	1404
252	474	1400
253	475	1396
254	476	1392
255	477	1388
256	479	1385
257	480	1381
258	481	1377
259	482	1374
260	484	1370
261	485	1366
262	486	1362
263	487	1357
264	488	1353
265	489	1349
266	490	1345
267	491	1341
268	492	1337
269	493	1335
270	494	1331
271	495	1327
272	497	1324
273	498	1321
274	500	1318
275	501	1314
276	502	1311
277	503	1308
278	504	1304
279	506	1301
280	507	1299
281	508	1295
282	510	1292
283	511	1289
284	512	1286
285	514	1283
286	515	1280
287	516	1277
288	518	1274
289	519	1271
290	520	1267
291	521	1264
292	522	1261
293	524	1258
294	525	1256
295	526	1253
296	528	1252
297	533	1256
298	535	1255
299	540	1262
300	542	1260
301	545	1261
302	547	1259
303	551	1263
304	553	1260
305	554	1257
306	556	1255
307	557	1252
308	558	1249
309	559	1246
310	561	1243
311	563	1241
312	564	1240
313	566	1237
314	568	1235
315	569	1232
316	570	1229
317	571	1226
318	573	1224
319	574	1221
320	575	1218
321	577	1215
322	578	1212
323	579	1209
324	581	1206
325	582	1203
326	583	1200
327	584	1198
328	586	1195
329	587	1192
330	588	1189
331	589	1186
332	591	1184
333	592	1181
334	594	1179
335	595	1176
336	598	1176
337	599	1173
338	600	1171
339	602	1170
340	604	1167
341	605	1165
342	606	1162
343	608	1159
344	609	1157
345	610	1154
346	613	1153
347	614	1151
348	616	1149
349	617	1147
350	619	1144
351	620	1142
352	622	1140
353	623	1138
354	624	1135
355	626	1132
356	627	1130
357	628	1127
358	630	1125
359	631	1122
360	632	1120
361	634	1117
362	635	1114
363	636	1112
364	637	1109
365	639	1108
366	641	1105
367	642	1103
368	643	1100
369	645	1098
370	647	1097
371	649	1095
372	650	1094
373	652	1091
374	653	1089
375	655	1087
376	656	1085
377	658	1082
378	659	1080
379	661	1078
380	662	1076
381	664	1074
382	665	1072
383	667	1070
384	668	1068
385	670	1066
386	671	1064
387	673	1062
388	675	1061
389	677	1059
390	678	1057
391	680	1055
392	681	1053
393	684	1052
394	685	1050
395	687	1048
396	688	1045
397	689	1043
398	690	1040
399	692	1038
400	693	1035
401	694	1033
402	695	1030
403	697	1028
404	698	1026
405	700	1024
406	701	1021
407	702	1019
408	704	1017
409	706	1016
410	708	1014
411	709	1013
412	711	1011
413	713	1009
414	714	1007
415	716	1005
416	719	1005
417	723	1006
418	724	1005
419	726	1002
420	727	1000
421	728	998
422	730	996
423	731	993
424	735	995
425	737	994
426	740	993
427	741	990
428	742	988
429	744	986
430	745	984
431	746	981
432	747	978
433	750	978
434	751	976
435	752	973
436	753	971
437	755	969
438	757	967
439	758	965
440	759	963
441	766	967
442	769	967
443	770	965
444	772	963
445	774	962
446	776	960
447	777	958
448	778	955
449	779	953
450	781	950
451	782	948
452	784	947
453	787	946
454	790	946
455	791	944
456	793	942
457	798	944
458	800	943
459	803	943
460	805	941
461	806	939
462	808	937
463	810	936
464	811	934
465	813	931
466	817	932
467	819	931
468	822	931
469	823	929
470	825	926
471	826	924
472	827	921
473	828	919
474	829	917
475	830	914
476	831	912
477	833	909
478	834	907
479	835	904
480	836	902
481	837	899
482	838	897
483	839	895
484	841	893
485	842	890
486	845	890
487	847	889
488	848	886
489	849	884
490	851	882
491	852	880
492	853	878
493	855	875
494	858	876
495	859	873
496	860	871
497	862	869
498	864	867
499	865	865
500	867	863
501	868	861
502	869	859
503	870	856
504	872	855
505	873	852
506	874	850
507	875	848
508	877	846
509	878	844
510	879	841
511	880	839
512	882	837
513	883	835
514	884	833
515	886	831
516	887	829
517	888	826
518	889	824
519	890	822
520	892	820
521	893	818
522	894	815
523	895	813
524	897	811
525	900	811
526	902	809
527	903	807
528	905	806
529	906	803
530	908	802
531	909	799
532	911	798
533	912	796
534	915	795
535	917	793
536	919	792
537	922	792
538	925	791
539	927	790
540	929	788
541	931	786
542	932	785
543	934	783
544	935	781
545	937	779
546	939	777
547	940	775
548	941	773
549	942	771
550	943	769
551	945	767
552	946	764
553	947	763
554	949	761
555	950	758
556	951	756
557	952	754
558	954	753
559	955	751
560	957	749
561	958	747
562	959	744
563	960	742
564	961	740
565	963	738
566	965	737
567	966	735
568	967	733
569	969	731
570	970	728
571	971	726
572	972	724
573	973	722
574	975	720
575	976	718
576	978	717
577	979	715
578	980	713
579	982	711
580	983	709
581	985	707
582	986	705
583	987	703
584	988	701
585	989	699
586	990	697
587	991	695
588	993	693
589	995	691
590	996	689
591	997	687
592	998	685
593	1000	683
594	1001	682
595	1003	680
596	1004	678
597	1006	676
598	1007	674
599	1009	672
600	1010	670
601	1011	668
602	1013	667
603	1014	665
604	1015	663
605	1016	661
606	1018	659
607	1019	657
608	1020	655
609	1021	653
610	1023	651
611	1024	649
612	1025	647
613	1027	646
614	1029	644
615	1031	642
616	1032	641
617	1034	639
618	1035	637
619	1036	635
620	1038	633
621	1039	631
622	1040	629
623	1041	627
624	1043	626
625	1044	624
626	1046	622
627	1047	620
628	1048	618
629	1050	616
630	1052	615
631	1053	613
632	1054	611
633	1056	610
634	1057	608
635	1058	606
636	1060	604
637	1062	602
638	1063	600
639	1064	598
640	1066	597
641	1067	595
642	1068	593
643	1070	591
644	1071	589
645	1073	588
646	1075	586
647	1076	584
648	1077	582
649	1078	580
650	1080	579
651	1081	577
652	1082	575
653	1084	573
654	1085	571
655	1086	569
656	1088	568
657	1089	566
658	1090	564
659	1091	562
660	1094	561
661	1095	559
662	1097	557
663	1098	555
664	1100	554
665	1101	552
666	1103	550
667	1105	549
668	1120	554
669	1126	554
670	1129	553
671	1131	552
672	1133	550
673	1135	548
674	1136	547
675	1137	545
676	1139	543
677	1140	541
678	1141	539
679	1143	537
680	1144	536
681	1145	534
682	1146	532
683	1147	530
684	1148	528
685	1150	526
686	1151	524
687	1152	522
688	1153	520
689	1155	519
690	1157	517
691	1160	516
692	1161	514
693	1162	512
694	1164	510
695	1165	509
696	1167	507
697	1169	505
698	1170	504
699	1172	502
700	1173	500
701	1174	498
702	1176	496
703	1177	494
704	1178	493
705	1179	491
706	1180	489
707	1181	487
708	1182	485
709	1184	483
710	1185	481
711	1186	479
712	1187	478
713	1188	476
714	1190	474
715	1191	472
716	1192	470
717	1193	468
718	1195	467
719	1196	465
720	1197	463
721	1198	461
722	1200	459
723	1201	458
724	1203	456
725	1205	454
726	1206	452
727	1207	451
728	1208	449
729	1209	447
730	1210	445
731	1212	443
732	1213	442
733	1214	440
734	1215	438
735	1216	436
736	1218	434
737	1219	432
738	1220	430
739	1221	429
740	1222	427
741	1223	425
742	1224	423
743	1225	421
744	1227	420
745	1228	418
746	1229	416
747	1230	414
748	1231	412
749	1233	411
750	1234	409
751	1235	407
752	1236	405
